Old_Crime_ID	Crime_ID	Country	Link	Event_year	Event_date	Seizure_co	Seizure_ci	X	Y	N. of fire	Firearm_Ty	Ammunition	Storage	Shooting/h	N. of acto	Actors_nat	Actors_age	Actors_gen	Additional	Source	NUTS_ID
RO0006	RO037	Romania	http://www.customs.ro/UserFiles/120306_CP_DRAOV%20IS%20arme%20i%20munitie%20BVF%20Albita.pdf	2012.0	2012-03-05T00:00:00Z	Romania	Drânceni	28.129459	46.79955	111.0	Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Pistol;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle	Yes	Car	N/A	N/A	N/A	N/A	N/A		Press release customs	RO21
RO0003	RO038	Romania	http://www.bzi.ro/adrian-nastase-a-incercat-sa-se-sinucida-impuscandu-se---update-296291	2012.0	2012-06-01T00:00:00Z	Romania	N/A	-	-	1.0	Revolver	N/A	N/A	Yes	1.0	N/A	61.0	M	Brand:Smith and Wesson;Tried to committ suicide	Press review	RO21
RO0007	RO039	Romania	http://www.customs.ro/UserFiles/120730_CP_DRAOV%20IS_2%20400%20arme%20i%20430%20colete%20accesorii%20descoperite.pdf	2012.0	2012-07-30T00:00:00Z	Romania	Drânceni	28.129459	46.79955	N/A	N/A	Yes	Other	N/A	N/A	N/A	N/A	N/A	Air guns, Other: Truck	Press release customs	RO21
RO0029	RO040	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/trei-arme-detinute-ilegal-depistate-de-politisti	2012.0	2012-09-04T00:00:00Z	Romania	Arad	21.311162	46.185164	3.0	N/A;N/A;N/A	Yes	House	N/A	1.0	N/A	61.0	M	Weapons irregularly held.	Press release LEA	RO42
RO0030	RO041	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/vanatori-de-mistreti-cercetati-pentru-braconaj-cinegetic	2012.0	2012-10-14T00:00:00Z	Romania	Târnova	23.80166	44.31821	2.0	Rifle;Rifle	Yes	Car	N/A	2.0	N/A;N/A	43;69	M;M	Hunting rifle	Press release LEA	RO41
RO0031	RO042	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/arsenal-de-arme-gasit-de-politisti-la-locuinta-unui-doljean	2012.0	2012-11-01T00:00:00Z	Romania	Craiova	28.79499	45.17959	N/A	N/A	Yes	House	N/A	1.0	Romanian	36.0	M	The police found several firearms in the house of a 36 years old. Some of the weapons were stolen in Greece.	Press release LEA	RO22
RO0032	RO043	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/suspect-de-inselaciune-depistat-de-politisti	2012.0	2012-11-23T00:00:00Z	Romania	Tulcea	26.24893	47.64368	1.0	Other	Yes	House	N/A	1.0	Romanian	30.0	M	Gas pistol	Press release LEA	RO21
RO0033	RO044	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/dosar-penal-pentru-nerespectarea-regimului-armelor-si-munitiilor	2013.0	2013-01-05T00:00:00Z	Romania	Suceava	26.82017	45.15361	1.0	Other	N/A	Other	N/A	2.0	Romanian;Romanian	43;45	M;M	Air pistol	Press release LEA	RO22
RO0034	RO045	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/update-buzau-perchezitii-la-suspecti-de-furturi	2013.0	2013-01-16T00:00:00Z	Romania	Buzău	27.72927	46.64088	1.0	Pistol	Yes	House	N/A	1.0	N/A	46.0	M	Caliber: 9mm	Press release LEA	RO21
RO0008	RO046	Romania	http://www.customs.ro/UserFiles/131228_CP_DRAOV%20IS_BVF%20Albita%20tir%20incarcat%20cu%20arme.pdf	2013.0	2013-01-27T00:00:00Z	Romania	Drânceni	28.129459	46.79955	5.0	Pistol;Pistol;Rifle;Rifle;Rifle	Yes	Car	N/A	1.0	Moldovan	N/A	M	Model: CO2, STEYR M9, NORICA ATLANTIC, MARKHOR OSO, MARKHOR JUNGLE;Brand: GMB	Press release customs	RO21
