Old_Crime_ID	Crime_ID	Country	Link	Event_year	Event_date	Seizure_co	Seizure_ci	X	Y	N. of fire	Firearm_Ty	Ammunition	Storage	Shooting/h	N. of acto	Actors_nat	Actors_age	Actors_gen	Additional	Source	NUTS_ID
AT0001	AT001	Austria	http://www.oe24.at/oesterreich/chronik/salzburg/Mann-im-Pongau-in-beide-Beine-getroffen-0623925.ece;http://www.vol.at/news/welt/artikel/mann-bei-schiessstand-im-pongau-schwer-verletzt/cn/apa-1141771432;http://www.krone.at/krone/S25/object_id__181575/hxcms/index.html	2010.0	2010-01-21T00:00:00Z	Austria	Sankt Johann im Pongau	13.20223	47.34896	1.0	Rifle	N/A	N/A	Yes	1.0	Austrian	49.0	M	Hunting rifle	Press Review	AT32
AT0002	AT002	Austria	http://www.oe24.at/oesterreich/chronik/Mit-Gaspistole-auf-Nachbarn-gefeuert-0658152.ece;http://kaernten.orf.at/stories/427226/	2010.0	2010-03-04T00:00:00Z	Austria	Spittal an der Drau	13.49588	46.79819	1.0	Other	Yes	House	Yes	1.0	Austrian	49.0	M	A man shoots his neighbor with a gas air gun	Press Review	AT21
AT0003	AT003	Austria	http://www.krone.at/Nachrichten/Kaertner_Polizist_hortete_ueber_eine_Tonne_Waffen-Explosives_Arsenal-Story-221606	2010.0	2010-08-16T00:00:00Z	Austria	Carinthia (Region)	-	-	N/A	N/A	Yes	House	N/A	1.0	Austrian	N/A	M	War weapons and several hundred granades	Press Review	
AT0004	AT004	Austria	http://vorarlberg.orf.at/news/stories/2604446/;http://www.vol.at/raeuber-zu-langjaehriger-haft-verurteilt/3706686	2010.0	2010-12-01T00:00:00Z	Austria	Bregenz	9.74707	47.50303	1.0	Other	N/A	N/A	N/A	2.0	Turk;Turk	28;29	M;M	Stun gun	Press Review	AT34
AT0005	AT005	Austria	http://www.krone.at/Nachrichten/Fleischhauer_soll_als_Wilderer_Wirte_im_Ort_versorgt_haben-Schlimmer_Verdacht-Story-235879?utm_source=krone.at&utm_medium=RSS-Feed&utm_campaign=Nachrichten	2010.0	2010-12-15T00:00:00Z	Austria	Bad Ischl	13.62382	47.71153	1.0	N/A	N/A	Car	N/A	1.0	Austrian	N/A	M	Converted firearm	Press Review	AT31
AT0009	AT006	Austria	http://www.vol.at/cobra-raeumt-ortspolitiker-waffen-aus-dem-keller/news-20110217-06294225;http://diepresse.com/home/politik/innenpolitik/634844/Vorarlberg_FPOePolitiker-hortet-Waffen-und-NSRelikte?from=rss;http://www.vol.at/fpoe-ortspartei-mit-rechtsdrall/news-20110218-06343050;http://www.vol.at/fpoe-ortspartei-mit-rechtsdrall/news-20110218-06343050;http://vorarlberg.orf.at/stories/504146/	2011.0	2011-01-18T00:00:00Z	Austria	Götzis	9.64474	47.33369	N/A	N/A	Yes	House	N/A	1.0	Austrian	41.0	M	The weapons found are: rifles, 50 handguns and long guns, stabbing weapons, swords, sabers and knives - but also ammunition, from gunpowder to sleeves, in addition to Nazi material	Press Review	AT34
AT0010	AT007	Austria	http://www.kleinezeitung.at/kaernten/villach/villach/2692499/razzia-waffen-ss-material-beschlagnahmt.story;http://www.oe24.at/oesterreich/chronik/kaernten/Waffen-bei-Kaerntner-Neonazi-gefunden/19472516;	2011.0	2011-03-05T00:00:00Z	Austria	Villach	13.84874	46.61596	3.0	Other;Pistol;Shotgun	Yes	House	N/A	1.0	Austrian	23.0	M	The suspect also had three guns in his apartment: a sawed-off shotgun, softgun and a pistol, probably a relic of the Second World War.	Press Review	AT21
AT0011	AT008	Austria	http://news.orf.at/stories/2047374/;http://www.kleinezeitung.at/nachrichten/chronik/2697782/waffenhaendler-ring-polizei-zerschlagen.story;http://www.kleinezeitung.at/steiermark/liezen/2697782/waffenhaendler-ring-polizei-zerschlagen.story;http://www.kleinezeitung.at/nachrichten/chronik/2698107/waffenhandel-auch-sprengsaetze-gefunden.story;	2011.0	2011-03-12T00:00:00Z	Austria	Liezen	14.242438	47.568441	80.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;	Yes	N/A	N/A	3.0	Austrian;Austrian;Austrian	22;40;60	M;M;M	80 pieces weapons, including several machine guns, silencers, handguns, carbines, rifles and even automatic weapons some of them are illigal and destinated to trade	Press Review	AT22
AT0012	AT009	Austria	http://steiermark.orf.at/stories/509691/;http://www.kleinezeitung.at/steiermark/hartberg/2719442/betrunkener-mann-schoss-wohnungsfenster.story	2011.0	2011-04-11T00:00:00Z	Austria	Hartberg	15.973044	47.281335	N/A	N/A	Yes	House	Yes	1.0	Austrian	40.0	M	The man repeatedly fired shots  with a gun out of his apartment with no goals	Press Review	AT22
AT0013	AT010	Austria	http://derstandard.at/1302515926360/Rechtsextremist-Kuessel-in-Wien-verhaftet;http://www.kleinezeitung.at/steiermark/graz/graz/2698107/waffenhandel-auch-sprengsaetze-gefunden.storyhttp://diepresse.com/home/panorama/oesterreich/641544/BurgenlandSteiermark_Waffenhaendlerring-ausgehoben?from=rss;http://www.wienerzeitung.at/DesktopDefault.aspx?TabID=4103&Alias=wzo&cob=555109;http://diepresse.com/home/politik/innenpolitik/649616/Wien_Rechtsextremist-Kuessel-angeblich-verhaftet?from=rss;http://derstandard.at/1302515926360/Hausdurchsuchungen-Rechtsextremist-Kuessel-in-Wien-verhaftet;http://www.kleinezeitung.at/nachrichten/chronik/2719579/rechtsextremist-kuessel-wien-verhaftet.story;http://www.wienerzeitung.at/DesktopDefault.aspx?TabID=4103&Alias=wzo&cob=555236;http://diepresse.com/home/politik/innenpolitik/650101/NeonaziHomepage_UHaft-fuer-Kuessel-beantragt?from=rss;http://www.kleinezeitung.at/nachrichten/politik/2720901/u-haft-fuer-hintermaenner-neonazi-homepage.story;http://wien.orf.at/stories/510035/;http://www.kleinezeitung.at/nachrichten/politik/2721503/u-haft-ueber-kuessel-wiederbetaetigung-verhaengt.story;http://www.oe24.at/oesterreich/politik/alpen-donau-info-Neonazi-Kuessel-jetzt-in-U-Haft/23953507;http://www.wienerzeitung.at/DesktopDefault.aspx?TabID=4103&Alias=wzo&cob=555575	2011.0	2011-04-12T00:00:00Z	Austria	Vienna	16.37278	48.20922	N/A	N/A	N/A	N/A	N/A	1.0	Austrian	N/A	M		Press Review	AT13
AT0014	AT011	Austria	http://steiermark.orf.at/stories/518498/;http://www.oe24.at/oesterreich/chronik/Gewalt-in-der-Steiermark-91-jaehriger-schoss-auf-84-jaehrigen-Nachbarn/29565489;http://m.heute.at/news/oesterreich/bundeslaender/Steiermark-Traktorlenker-von-91-jaehrigem-Nachbarn-angeschossen;art1303,564865	2011.0	2011-05-30T00:00:00Z	Austria	Judenburg	14.66125	47.16783	1.0	Rifle	N/A	N/A	N/A	1.0	Austrian	91.0	M		Press Review	AT22
AT0015	AT012	Austria	http://www.oe24.at/oesterreich/chronik/Streit-auf-der-A1-in-Salzburg-Bursch-schoss-auf-Auto-einer-Frau/37167936;http://www.heute.at/news/oesterreich/bundeslaender/Irre-Autofahrerin-waehrend-Fahrt-auf-A1-attackiert;art1303,588204	2011.0	2011-08-12T00:00:00Z	Austria	Salzburg	13.0444	47.80051	1.0	Other	N/A	Car	Yes	1.0	N/A	19.0	M	Gas Pistol	Press Review	AT32
AT0016	AT013	Austria	http://wien.orf.at/news/stories/2503523/	2011.0	2011-09-28T00:00:00Z	Austria	Vienna	16.37278	48.20922	1.0	Other	N/A	N/A	Yes	1.0	Austrian	31.0	M	Gas Pistol, the man shots twice into the air	Press Review	AT13
AT0018	AT014	Austria	http://www.noen.at/lokales/noe-uebersicht/baden/aktuell/Naechtliche-Schiessuebungen-sorgten-fuer-Polizeieinsatz;art2427,369028;http://www.krone.at/Nachrichten/Schiessuebung_mitten_in_Nacht_-_fast_100_Patronen_verballert-Aufregung_in_NOe-Story-310047?utm_source=krone.at&utm_medium=RSS-Feed&utm_campaign=Nachrichten	2012.0	2012-01-31T00:00:00Z	Austria	Baden	16.23238	48.00613	1.0	Rifle	Yes	N/A	Yes	1.0	Austrian	28.0	M	100 ammunition. Shootings in the air to try it	Press Review	AT12
AT0019	AT015	Austria	http://www.kleinezeitung.at/kaernten/klagenfurtland/3016609/deutscher-drogendealer-festgenommen.story;http://www.heute.at/news/oesterreich/art23655,708823;http://www.kleinezeitung.at/nachrichten/chronik/3016609/deutscher-drogendealer-festgenommen.story;http://kaernten.orf.at/news/stories/2532707/	2012.0	2012-05-10T00:00:00Z	Austria	Krumpendorf am Wörthersee	14.208556	46.626894	7.0	Other;Other;Other;Pistol;Pistol;Pistol;Pistol	Yes	House	N/A	1.0	German	35.0	M	4 pistols (2 illegal), one Model: Magnum, 2 guns, a stun gun, 1900 ammunition	Press Review	AT21
AT0020	AT016	Austria	http://www.vol.at/mann-nach-schusswechsel-in-st-poelten-getoetet-es-war-angeblich-selbstmord/3249168;http://www.news.at/articles/1219/10/327588/schusswechsel-st-poelten-toter-cobra-einsatz 	2012.0	2012-05-11T00:00:00Z	Austria	Sankt Pölten	15.62264	48.20455	5.0	Other;Other;Other;Other;Other	N/A	House	Yes	1.0	Austrian	25.0	M	Long Firearms	Press Review	AT12
AT0021	AT017	Austria	http://salzburg.orf.at/news/stories/2542436/	2012.0	2012-07-23T00:00:00Z	Austria	Hallein	13.09596	47.68274	N/A	N/A	N/A	N/A	N/A	1.0	N/A	43.0	M	Several firearms	Press Review	AT32
AT0022	AT018	Austria	http://www.kleinezeitung.at/steiermark/graz/graz/3113066/pornoring-razzien-graz.story	2012.0	2012-09-08T00:00:00Z	Austria	Graz	15.44171	47.06791	N/A	N/A	N/A	House	N/A	1.0	N/A	63.0	M	Explosives, dangerous chemicals, firearms and war material	Press Review	AT22
AT0023	AT019	Austria	http://www.heute.at/news/oesterreich/art23655,785849;http://kaernten.orf.at/news/stories/2549922/;http://www.kleinezeitung.at/kaernten/sanktveit/3116207/23-jaehriger-schoss-luftdruckgewehr-fenster.story	2012.0	2012-09-11T00:00:00Z	Austria	Sankt Veit an der Glan	14.35921	46.76644	1.0	Other	N/A	N/A	Yes	1.0	Austrian	23.0	M	With a gas gun man shot into the air and injures a person on a bike	Press Review	AT21
AT0024	AT020	Austria	http://www.heute.at/news/oesterreich/art23655,783381;http://kaernten.orf.at/news/stories/2549256/;http://www.kleinezeitung.at/nachrichten/chronik/3112879/iillegale-waffen-st-veit-sichergestellt.story;http://www.kleinezeitung.at/kaernten/sanktveit/3112879/iillegale-waffen-st-veit-sichergestellt.story	2012.0	2012-09-15T00:00:00Z	Austria	Sankt Veit an der Glan	14.35921	46.76644	N/A	N/A	Yes	House	N/A	1.0	N/A	N/A	M	Illegal weapons	Press Review	AT21
AT0025	AT021	Austria	http://www.kleinezeitung.at/kaernten/klagenfurt/klagenfurt/3151980/mann-faustfeuerwaffe-bedroht-beraubt.story	2012.0	2012-10-26T00:00:00Z	Austria	Klagenfurt	14.3077	46.62365	1.0	Other	N/A	N/A	Yes	2.0	N/A;N/A	17;20	M;M	Stun gun	Press Review	AT21
AT0026	AT022	Austria	http://noe.orf.at/news/stories/2567377;http://www.vol.at/motiv-rassismus-mann-schoss-in-perchtoldsdorf-auf-nachbarhaus/3461598;http://kurier.at/chronik/niederoesterreich/industrieviertel/auslaenderfeindlichkeit-niederoesterreicher-schoss-auf-nachbarhaus/2.616.061	2012.0	2012-11-19T00:00:00Z	Austria	Perchtoldsdorf	16.26607	48.11805	11.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Rifle	Yes	House	N/A	1.0	Austrian	67.0	M	12,700 rounds of ammunition. Only part of the materials were legally owned. Shooted at the windows of a non-Austrian woman for ideological reasons	Press Review	AT12
AT0029	AT023	Austria	http://diepresse.com/home/panorama/oesterreich/1332146/Tiroler-wegen-Verbrechensvorbereitung-in-UHaft?from=rss	2013.0	2013-01-13T00:00:00Z	Austria	Kufstein	12.17077	47.58297	N/A	N/A	Yes	House	N/A	1.0	N/A	24.0	N/A	1,000 round of ammunition, weapons and explosive materials	Press Review	AT33
AT0030	AT024	Austria	http://salzburg.orf.at/news/stories/2567855;http://www.oe24.at/oesterreich/chronik/salzburg/Taxler-bedrohte-Kollegen-bei-Streit-mit-Pistole/91984344;http://www.salzburg.com/nachrichten/salzburg/chronik/sn/artikel/taxler-bedrohte-kollegen-in-saalbach-mit-pistole-44109	2013.0	2013-01-19T00:00:00Z	Austria	Saalbach-Hinterglemm	12.59435	47.37114	1.0	Other	N/A	N/A	No	1.0	N/A	26.0	N/A	Softgun used to threaten another taxi driver then buried it in the snow	Press Review	AT32
AT0031	AT025	Austria	http://kaernten.orf.at/news/stories/2574671	2013.0	2013-03-07T00:00:00Z	Austria	Bleiburg	14.800344	46.58159	1.0	N/A	N/A	N/A	No	1.0	N/A	27.0	M	Illegal possession of a gun used to threaten a person	Press Review	AT21
AT0032	AT026	Austria	http://kaernten.orf.at/news/stories/2578110	2013.0	2013-04-02T00:00:00Z	Austria	Ferlach	14.297918	46.525539	1.0	N/A	N/A	N/A	N/A	1.0	German	21.0	M	Legal firearm	Press Review	AT21
AT0033	AT027	Austria	http://www.kleinezeitung.at/kaernten/klagenfurt/klagenfurt/3281999/mann-attackierte-nachbarn-elektroschockgeraet.story	2013.0	2013-04-02T00:00:00Z	Austria	Klagenfurt	14.3077	46.62365	1.0	Other	N/A	House	N/A	1.0	Austrian	52.0	M	Stun gun	Press Review	AT21
AT0034	AT028	Austria	http://www.oe24.at/oesterreich/chronik/niederoesterreich/Illegales-Waffenarsenal-in-NOe-entdeckt/105465691;http://www.krone.at/Nachrichten/NOe_Mann_bunkerte_zu_Hause_Waffen_und_Sprengmittel-Grossteil_illegal-Story-363264?utm_source=krone.at&utm_medium=RSS-Feed&utm_campaign=Nachrichten;http://www.heute.at/news/oesterreich/noe/art23654,883565	2013.0	2013-05-18T00:00:00Z	Austria	Hohenberg	15.615533	47.909655	51.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	Yes	House	N/A	1.0	N/A	50.0	M	Seized 31 long weapons and 20 short weapons, silencers, hundreds cartridges, including hollow-point bullets, a tear fabric grenade, 54 detonators, several electric moment detonators, two fireworks bombs and a timing fuse, seven rods explosives and 250 grams of loose bearing explosives. Much of the material was illegal	Press Review	AT12
AT0035	AT029	Austria	http://www.tt.com/Tirol/6893606-2/tiroler-sind-keine-waffennarren.csp	2013.0	2013-07-01T00:00:00Z	Austria	Innsbruck	11.39472	47.2627	3.0	Pistol;Other;Other	N/A	N/A	Yes	1.0	Austrian	50.0	M	Undeclared gun and 2 other weapons (1 of them is a pistol brand Derringer). The shot hit the arm of a man	Press Review	AT33
AT0036	AT030	Austria	http://kaernten.orf.at/news/stories/2596017/	2013.0	2013-07-31T00:00:00Z	Austria	Friesach	14.411827	46.951328	11.0	Other;Other;Revolver;Revolver;Revolver;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle	Yes	Warehouse	Yes	2.0	German;German	54;18	M;M	8 long guns, including 6 reportable repeating rifles and 2 air guns, as well as 3 gas revolver and ammunition. A man shot in the open sky	Press Review	AT21
AT0037	AT031	Austria	http://www.kleinezeitung.at/steiermark/suedoststeiermark/3398678/alkoholisierter-feuerte-schreckschusspistole.story	2013.0	2013-09-04T00:00:00Z	Austria	Paldau	15.779757	46.943909	1.0	Other	N/A	N/A	Yes	1.0	Austrian	55.0	M	The man with a stun gun shot into the air	Press Review	AT22
AT0038	AT032	Austria	http://www.kleinezeitung.at/kaernten/villach/villach/3399295/taxiraeuber-bei-freund-abgetaucht.story	2013.0	2013-09-04T00:00:00Z	Austria	Vienna	16.37278	48.20922	1.0	Other	N/A	N/A	N/A	2.0	Austrian;Austrian	27;23	M;M	Gun	Press Review	AT13
AT0039	AT033	Austria	http://www.salzburg.com/nachrichten/oesterreich/chronik/sn/artikel/26-jaehriger-frau-versehentlich-ins-bein-geschossen-74428/;http://www.kleinezeitung.at/nachrichten/chronik/3409083/26-jaehriger-frau-versehentlich-ins-bein-geschossen.story	2013.0	2013-09-15T00:00:00Z	Austria	Linz	14.28629	48.30607	1.0	Other	N/A	House	N/A	1.0	N/A	21.0	M	Nine-millimeter handgun	Press Review	AT31
AT0040	AT034	Austria	http://diepresse.com/home/panorama/oesterreich/1456145/Welser-Polizei-hebt-Waffenlager-aus?from=rss;http://www.heute.at/news/oesterreich/ooe/art23653,936199	2013.0	2013-09-23T00:00:00Z	Austria	Wels	14.0246	48.15665	149.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	N/A	House	N/A	1.0	N/A	N/A	M		Press Review	AT31
AT0041	AT035	Austria	http://kurier.at/chronik/burgenland/polizei-sprengte-slowakische-drogenbande/32.094.961;http://www.krone.at/Nachrichten/Schwer_bewaffneter_Drogenboss_in_Wien_festgenommen-Bande_gesprengt-Story-380136?utm_source=krone.at&utm_medium=RSS-Feed&utm_campaign=Nachrichten;http://www.bmi.gv.at/cms/BMI/_news/BMI.aspx?id=3058616B346F486F3633633D&page=0&view=1%20%20%20%20%20%20%20%20%20%20%20%20	2013.0	2013-10-21T00:00:00Z	Austria	Vienna	16.37278	48.20922	3.0	Pistol;Pistol;Pistol	N/A	Car	N/A	3.0	Slovakian;Slovakian;Slovakian	28;43;18	M;M;M	Model: Makarov and two gas pistols	Press Review	AT13
AT0042	AT036	Austria	http://steiermark.orf.at/news/stories/2612609/;http://www.kleinezeitung.at/steiermark/bruckmuerzzuschlag/3456022/bei-verkehrskontrolle-waffen-entdeckt.story	2013.0	2013-11-01T00:00:00Z	Austria	Frohnleiten	15.314332	47.267775	7.0	Other;Other;Other;Other;Other;Other;Other	N/A	Car	N/A	1.0	N/A	55.0	M	Carabiner and six illegal handguns with ammunition of various caliber	Press Review	AT22
AT0043	AT037	Austria	http://wien.orf.at/news/stories/2612854/	2013.0	2013-11-03T00:00:00Z	Austria	Vienna	16.37278	48.20922	8.0	Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Rifle;Other	N/A	House	N/A	1.0	N/A	26.0	M	7 hunting rifles and a stun gun 	Press Review	AT13
AT0044	AT038	Austria	http://www.kleinezeitung.at/nachrichten/chronik/3469680/schuss-bei-nachbarschaftsstreit-wiener-neustadt.story;http://www.oe24.at/oesterreich/chronik/niederoesterreich/Wiener-Neustadt-Streit-Mann-schiesst-Nachbar-ins-Gesicht/122322910	2013.0	2013-11-15T00:00:00Z	Austria	Wiener Neustadt	16.24579	47.81292	1.0	Other	N/A	House	Yes	1.0	N/A	65.0	M	Air Gun	Press Review	AT12
AT0045	AT039	Austria	http://www.kleinezeitung.at/kaernten/villach/villach/3469622/streit-um-tuere-eskalierte-mann-zog-pistole.story;http://www.kleinezeitung.at/nachrichten/chronik/3469680/schuss-bei-nachbarschaftsstreit-wiener-neustadt.story;http://www.oe24.at/oesterreich/chronik/niederoesterreich/Wiener-Neustadt-Streit-Mann-schiesst-Nachbar-ins-Gesicht/122322910	2013.0	2013-11-16T00:00:00Z	Austria	Villach	13.84874	46.61596	1.0	Other	Yes	House	Yes	1.0	N/A	62.0	M	Gas pistol	Press Review	AT21
AT0046	AT040	Austria	http://diepresse.com/home/panorama/oesterreich/1544407/Steiermark_Polizei-hob-illegale-Waffenarsenale-aus?from=rss;http://www.oe24.at/oesterreich/chronik/steiermark/Cobra-hob-riesiges-Waffen-Lager-aus/127391069;http://www.krone.at/Nachrichten/Stmk_Polizei_hob_drei_illegale_Waffenlager_aus-Insgesamt_443_Stueck-Story-389172?utm_source=krone.at&utm_medium=RSS-Feed&utm_campaign=Nachrichten;http://www.heute.at/news/oesterreich/art23655,974013;http://www.kleinezeitung.at/steiermark/weiz/3516505/riesen-depot-waffen-ausgehoben.story	2013.0	2013-12-01T00:00:00Z	Austria	Weiz	15.76966	47.20276	74.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	Yes	House	N/A	1.0	N/A	46.0	N/A	8,333 ammunitions, a few kilos of gun powder and grenades (total for the three cases subdivided)	Press Review	AT22
AT0047	AT041	Austria	http://diepresse.com/home/panorama/oesterreich/1544407/Steiermark_Polizei-hob-illegale-Waffenarsenale-aus?from=rss;http://www.oe24.at/oesterreich/chronik/steiermark/Cobra-hob-riesiges-Waffen-Lager-aus/127391069;http://www.krone.at/Nachrichten/Stmk_Polizei_hob_drei_illegale_Waffenlager_aus-Insgesamt_443_Stueck-Story-389172?utm_source=krone.at&utm_medium=RSS-Feed&utm_campaign=Nachrichten;http://www.heute.at/news/oesterreich/art23655,974013;http://www.kleinezeitung.at/steiermark/weiz/3516505/riesen-depot-waffen-ausgehoben.story	2013.0	2013-12-01T00:00:00Z	Austria	Weiz	15.76966	47.20276	75.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	Yes	N/A	N/A	1.0	N/A	58.0	N/A	8,333 ammunitions, a few kilos of gun powder and grenades (total for the three cases subdivided)	Press Review	AT22
AT0048	AT042	Austria	http://diepresse.com/home/panorama/oesterreich/1544407/Steiermark_Polizei-hob-illegale-Waffenarsenale-aus?from=rss;http://www.oe24.at/oesterreich/chronik/steiermark/Cobra-hob-riesiges-Waffen-Lager-aus/127391069;http://www.krone.at/Nachrichten/Stmk_Polizei_hob_drei_illegale_Waffenlager_aus-Insgesamt_443_Stueck-Story-389172?utm_source=krone.at&utm_medium=RSS-Feed&utm_campaign=Nachrichten;http://www.heute.at/news/oesterreich/art23655,974013;http://www.kleinezeitung.at/steiermark/weiz/3516505/riesen-depot-waffen-ausgehoben.story	2013.0	2013-12-01T00:00:00Z	Austria	Weiz	15.76966	47.20276	76.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	Yes	N/A	N/A	1.0	N/A	41.0	N/A	8,334 ammunitions, a few kilos of gun powder and grenades (total for the three cases subdivided)	Press Review	AT22
AT0051	AT043	Austria	http://salzburg.orf.at/news/stories/2626556/;http://antennesalzburg.oe24.at/Erneut-Schusswaffen-in-Salzburg-gefunden/128877999	2014.0	2014-01-01T00:00:00Z	Austria	Golling an der Salzach	13.165384	47.598221	N/A	N/A	Yes	House	N/A	1.0	N/A	46.0	N/A	several pistols and a normal rifle 	Press Review	AT32
AT0052	AT044	Austria	http://www.xn--sterreich-z7a.at/nachrichten/Waffennarr-Bombenlager-im-Garten/128382619;http://salzburg.orf.at/news/stories/2626556/;http://www.salzburg.com/nachrichten/salzburg/chronik/sn/artikel/golling-boden-luft-raketen-in-heuschuppen-entdeckt-91233/;http://www.salzburg.com/nachrichten/salzburg/chronik/sn/artikel/golling-scharfe-granaten-in-heuschuppen-entdeckt-91233/;http://www.salzburg.com/nachrichten/salzburg/chronik/sn/artikel/kistenweise-scharfe-granaten-in-gollinger-schuppen-entdeckt-91233/;http://www.salzburg.com/nachrichten/salzburg/chronik/sn/artikel/kriegsmaterial-gehortet-anklage-gegen-43-jaehrigen-140508/	2014.0	2014-01-16T00:00:00Z	Austria	Golling an der Salzach	13.165384	47.598221	N/A	N/A	Yes	Farm;Garage;House	N/A	1.0	N/A	42.0	N/A	Training grenades, anti-tank mine detonators, guns and ammunition. The confiscated materials included among others an Italian submachine gun the brand Beretta, a Russian machine gun manufacturer Schpagin that was produced during World War II, as well as parts of a German machine gun. Illegal collection. He was injured in an explosion and after that they found the weapons	Press Review	AT32
AT0053	AT045	Austria	http://www.bvz.at/nachrichten/lokales/aktuell/oberwart/Kriminalitaet-Ermittlung-Burgenland-top-Freund-mit-Gewehr-ins-Gesaess-geschossen;art5638,542504	2014.0	2014-05-06T00:00:00Z	Austria	Rechnitz	16.443875	47.303869	1.0	Other	N/A	N/A	N/A	2.0	N/A;N/A	17;18	M;M	Air rifle	Press Review	AT11
AT0054	AT046	Austria	http://salzburg.orf.at/news/stories/2650624/	2014.0	2014-06-02T00:00:00Z	Austria	Hallein	13.09596	47.68274	1.0	N/A	N/A	N/A	N/A	1.0	N/A	27.0	N/A	Threatening his wife but she called the police	Press Review	AT32
